"filename", "language", "C++", "CMake", "XML", "JSON", "Perl", "C", "Markdown", "LaTeX", "HTML", "Properties", "PostCSS", "Ruby", "Shell Script", "YAML", "Python", "CMake Cache", "Batch", "GLSL", "Objective-C++", "Objective-C", "Makefile", "Diff", "JavaScript", "comment", "blank", "total"
"d:\coding\HelloSFML\CMakeLists.txt", "CMake", 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -24
"d:\coding\HelloSFML\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\cache-v2-700038e9e3f1118831da.json", "JSON", 0, 0, 0, -2995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2996
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\cmakeFiles-v1-9d6e03e30dc567535989.json", "JSON", 0, 0, 0, -1650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1651
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\codemodel-v2-3dd66e86b16ebabddfa4.json", "JSON", 0, 0, 0, -2592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2593
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-.-Debug-f040eec181a89de70dbe.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-.-MinSizeRel-f040eec181a89de70dbe.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-.-RelWithDebInfo-f040eec181a89de70dbe.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-.-Release-f040eec181a89de70dbe.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build-Debug-ef952ab91032b42f1f15.json", "JSON", 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -91
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build-MinSizeRel-ef952ab91032b42f1f15.json", "JSON", 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -91
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build-RelWithDebInfo-ef952ab91032b42f1f15.json", "JSON", 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -91
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build-Release-ef952ab91032b42f1f15.json", "JSON", 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -91
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.microbench-Debug-60dfd59fa6e2dfcf6db9.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.microbench-MinSizeRel-60dfd59fa6e2dfcf6db9.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.microbench-RelWithDebInfo-60dfd59fa6e2dfcf6db9.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.microbench-Release-60dfd59fa6e2dfcf6db9.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.src-Debug-20f864370c7b29fd05a8.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.src-MinSizeRel-20f864370c7b29fd05a8.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.src-RelWithDebInfo-20f864370c7b29fd05a8.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.src-Release-20f864370c7b29fd05a8.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
